"id","description","image_link","link","title","price","brand","custom_label_0","availability","condition","additional_image_link","google_product_category"
"43187","Набор из шести разных бокалов - такое может позволить себе только Baccarat! Сет, в который входят бокалы из разных популярных и легендарных коллекций мануфактуры. Такой набор станет потрясающим подарком, а также интересным дополнением вечеринки. Добавьте искры вашему вечеру и удивите своих гостей, предложив каждому его индивидуальный бокал.'Пусть бокал соответствует вам' - призывает Baccarat. А какой выбираете вы?","https://empirehall.com.ua/image/cache/catalog/products/2812727-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/nabori1/набор-из-шести-винных-бокалов-винная-терапия","Набор из шести винных бокалов 'Wine Therapy'","33810 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2812727-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812727_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812727_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812727_3-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812727_4-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812727_5-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812727_6-600x600.jpg",""
"43188","Набор из шести разных бокалов - такое может позволить себе только Baccarat! Сет, в который входят бокалы из разных популярных и легендарных коллекций мануфактуры. Такой набор станет потрясающим подарком, а также интересным дополнением вечеринки. Добавьте искры вашему вечеру и удивите своих гостей, предложив каждому его индивидуальный бокал.'Пусть бокал соответствует вам' - призывает Baccarat. А какой выбираете вы?","https://empirehall.com.ua/image/cache/catalog/products/2811434-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/nabori1/набор-из-шести-бокалов-для-шампанского-бабл-бокс","Набор из шести бокалов для шампанского 'Bubble Box'","33810 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2811434-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811434_4-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811434_5-600x600.jpg",""
"43189","Набор из четырех разных бокалов для виски не просто так называется '4 ELEMENTS', ведь каждый бокал соответствует одной из 4 стихий: земля, вода, огонь и воздух.
В отеле Baccarat Hotel New York под эту коллекцию специально разработали 4 алкогольных коктейля, которые подаются теперь исключительно там, каждый коктейль передает настроение одной из 4-х стихий.","https://empirehall.com.ua/image/cache/catalog/products/2812728-600x600.jpg","https://empirehall.com.ua/magazin/podarki/muzhchine/набор-из-четырех-бокалов-для-виски-4-стихии-h-105-см","Набор из четырех бокалов для виски '4 Elements Set', h 10,5 см","14600 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2812728-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812728_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812728_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812728_3-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812728_4-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812728_5-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812728_6-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2812728_7-600x600.jpg",""
"43190","Набор из шести разных бокалов - такое может позволить себе только Baccarat! Сет, в который входят бокалы из разных популярных и легендарных коллекций мануфактуры. Такой набор станет потрясающим подарком, а также интересным дополнением вечеринки. Добавьте искры вашему вечеру и удивите своих гостей, предложив каждому его индивидуальный бокал.'Пусть бокал соответствует вам' - призывает Baccarat. А какой выбираете вы?","https://empirehall.com.ua/image/cache/catalog/products/2810874-600x600.jpg","https://empirehall.com.ua/magazin/podarki/muzhchine/набор-из-шести-рюмок-ежедневный","Набор из шести рюмок 'Everyday Les Minis'","23050 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2810874-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2810874_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2810874_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2810874_3-600x600.jpg",""
"43191","Набор из шести разных бокалов - такое может позволить себе только Baccarat! Сет, в который входят бокалы из разных популярных и легендарных коллекций мануфактуры. Такой набор станет потрясающим подарком, а также интересным дополнением вечеринки. Добавьте искры вашему вечеру и удивите своих гостей, предложив каждому его индивидуальный бокал.'Пусть бокал соответствует вам' - призывает Baccarat. А какой выбираете вы?","https://empirehall.com.ua/image/cache/catalog/products/2809881-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/nabori1/набор-из-шести-высоких-стаканов-ежедневный--h-14-см","Набор из шести высоких стаканов 'Everyday Grande', h 14 см","16140 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2809881-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2809881_1-600x600.jpg",""
"43192","Набор из шести разных бокалов - такое может позволить себе только Baccarat! Сет, в который входят бокалы из разных популярных и легендарных коллекций мануфактуры. Такой набор станет потрясающим подарком, а также интересным дополнением вечеринки. Добавьте искры вашему вечеру и удивите своих гостей, предложив каждому его индивидуальный бокал.'Пусть бокал соответствует вам' - призывает Baccarat. А какой выбираете вы?","https://empirehall.com.ua/image/cache/catalog/products/2809854-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/nabori1/набор-из-шести-стаканов-ежедневный--h-85-см","Набор из шести стаканов 'Everyday Classic', h 8,5 см","14990 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2809854-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2809854_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2809854_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2809854_3-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2809854_4-600x600.jpg",""
"43193","Коллекция Chateau разработана в сотрудничестве с винным экспертом Бруно Кениу учитывая последние изменения на винном рынке и изготовлена не только стильно, но и профессионально. Силуэты бокалов созданы по примеру терруар-сегментированных дегустационных бокалов сомелье и позволяют добиться наилучшего раскрытия вкуса вина.
Высокие и объемные чаши бокалов имеют широкое основание и узкое горлышко, такая форма хорошо аэрирует вино, раскрывая сложные ноты, прекрасно распространяет аромат, когда вы кружите напиток в бокале, не позволяя вину выплескиваться, а также не дает пузырькам в игристом вине улетучиваться слишком быстро.","https://empirehall.com.ua/image/cache/catalog/products/2811925-600x600.jpg","https://empirehall.com.ua/magazin/podarki/semejnim-param/набор-для-дегустации-из-четырех-разных-бокалов-шато","Набор для дегустации из четырех разных бокалов 'Château Degustation '","8410 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2811925-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811925_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811925_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811925_3-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811925_4-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811925_5-600x600.jpg",""
"43194","Название Mille Nuits является отсылкой на сказки Тысячи и одной ночи. При создании коллекции дизайнеров вдохновлял волшебный мир Востока, наполненный множеством деталей и красок. Элегантная бусина хрусталя с алмазной огранкой в центре - фирменный штрих бокалов Mille Nuits, она расположена между гладкой узкой чашей и детализированной ребристой ножкой. В коллекции доступны цветные и прозрачные бокалы, а также: тарелки, пиалы, фруктовницы, подсвечники и даже люстра.","https://empirehall.com.ua/image/cache/catalog/products/2810814-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/nabori1/набор-из-четырех-разноцветных-бокалов-для-шампанского-тысяча-ночей--h-29-см","Набор из четырех разноцветных бокалов для шампанского 'Mille Nuits', h 29 см","43790 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2810814-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2810814_1-600x600.jpg",""
"43195","Знаменитый хрусталь Baccarat всегда окрашивают исключительно натуральными красителями: синий цвет получается при помощи добавления кобальта, зеленый — хрома, лиловый — никеля. 
А вот красный цвет самый особенный, он рождается благодаря добавлению в хрустальную массу чистого золота! 
Такая технология насыщает хрусталь цветом, оставляя его прозрачным и чистым. 
В сет Mosaique вошли 6 разноцветных хрустальных стаканов, которые внесут краски в каждый интерьер. Универсальная форма стаканов подойдет как для любого безалкогольного напитка, так и для бара.","https://empirehall.com.ua/image/cache/catalog/products/2810602-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/nabori1/набор-из-шести-разноцветных-стаканов-мозаика--h-10-см","Набор из шести разноцветных стаканов 'Mosaique', h 10 см","42260 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2810602-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2810602_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2810602_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2810602_3-600x600.jpg",""
"43196","Творец - известный дизайнер Томас Бастид, вдохновившись египетскими пирамидами, разработал коллекцию, отличающуюся глубокими разрезами в форме ромбов, что в очередной раз свидетельствует о высочайшем мастерстве мастеров мануфактуры Baccarat. 
Набор для виски Louxor - эксклюзивная новинка от бренда, выпущен в ограниченном количестве - 2000 экземпляров, где каждый графин обладает персональным 
 кодом. Сет Louxor создан, чтобы усилить вкус вашего любимого виски, ведь хорошим напитком следует наслаждаться из достойной посуды.","https://empirehall.com.ua/image/cache/catalog/products/2808651-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/nabori1/набор-для-виски-луксор--графин-и-шесть-бокалов","Набор для виски 'Louxor': графин и шесть бокалов","105640 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2808651-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2808651_1-600x600.jpg",""
